pid,title,handle,cat,type,abv,seimai,smv,acid,taste_tag,amakara,nodan,aroma,sanmi,kire,inv
6712425251025,白笹鼓 純米大吟醸,7,sake,純米大吟醸,15度,45%,,,,3,3,5,3,3,81
6712425316561,白笹鼓 大吟醸,9,sake,大吟醸,15度,45%,,,やや辛口,4,3,5,3,4,317
6712425578705,白笹鼓 純米吟醸,14,sake,純米吟醸,14度,60%,,,,3,3,4,3,3,27
6712425611473,白笹鼓 純米吟醸酒「神奈川物語」500ml,15,sake,純米吟醸,,,1.0,1.4,,3,4,4,4,2,43
6712425644241,白笹鼓 特別純米酒 300ml,16,sake,特別純米,,,1.5,1.4,やや辛口,4,4,4,4,4,5
6712425742545,白笹鼓 特別純米,17,sake,特別純米,15度,65%,,,やや辛口,4,3,3,3,4,10
6712425840849,白笹鼓 特別本醸造,19,sake,特別本醸造,15度,60%,,,やや淡麗辛口,4,2,2,3,4,46
6712426004689,白笹鼓 純米,21,sake,純米,14度,65%,,,やや辛口,4,3,3,3,4,90
6712426102993,白笹鼓 本醸造,23,sake,本醸造,15度,65%,,,やや淡麗辛口,4,2,2,3,5,43
6712426201297,白笹鼓 原酒「笹の露」,25,sake,原酒,18度,65%,,,濃醇旨口,4,4,2,3,4,26
6712426266833,白笹鼓 謹醸 720ml,27,sake,普通酒,,,4.0,1.1,旨口,5,4,2,3,4,29
6712426365137,"白笹鼓 謹醸 1,800ml",28,sake,本醸造,18度,60%,,,旨口,3,3,2,3,2,5
6712426463441,白笹鼓 謹醸 300ml,29,sake,普通酒,,,4.0,1.1,旨口,5,4,2,3,4,41
6712426528977,"白笹鼓 樽酒 1,800ml",30,sake,樽酒,,,4.0,1.0,辛口,5,3,2,2,4,-6
6712426627281,白笹鼓 生貯蔵「弘法山」300ml,32,sake,生貯蔵,,,3.0,1.0,やや辛口,4,3,2,2,3,-10
6712426725585,しらささ 冷や酒 300ml,34,sake,普通酒,,,5.0,1.1,やや淡麗旨口,5,4,2,3,4,0
6712426856657,しらささ 冷や酒 720ml,35,sake,普通酒,,,5.0,1.1,やや淡麗旨口,5,4,2,3,4,0
6712426922193,白笹鼓 本醸造生貯蔵酒 300ml,36,sake,生貯蔵,,,4.0,1.2,辛口,5,4,2,3,4,48
6834340987089,白笹鼓 特別純米酒「妖怪 アマビエ」720ml,44,sake,特別純米,,,1.5,1.4,やや辛口,4,4,4,4,4,0
6834366808273,【秋季限定】白笹鼓 純米酒「丹沢のひやおろし」720ml,46,sake,純米,,,3.5,,辛口,5,4,3,3,4,0
6834370707665,"【秋季限定】白笹鼓 純米酒「丹沢のひやおろし」1,800ml",47,sake,純米,,,3.5,,辛口,5,4,3,3,4,0
6834376147153,【秦野萌酒】白笹鼓 特別本醸造「いなり」720ml,48,sake,特別本醸造,,,3.5,1.3,やや淡麗辛口,5,4,2,4,4,31
6834393153745,【秦野萌酒】白笹鼓 純米「いなり」720ml,49,sake,特別本醸造,,,1.5,1.4,やや辛口,4,4,3,4,3,43
6861443694801,白笹鼓 梅酒「ぽ」300ml,50,other-alc,梅酒,,,,,,,,,,,0
6890851762385,化粧箱,giftbox,goods,,,,,,,,,,,,0
6890854154449,720ml用化粧箱（3本入れ）,化粧箱-3本入れ,goods,,,,,,,,,,,,94
6890854285521,720ml用化粧箱（4本入れ）,化粧箱-4本入れ,goods,,,,,,,,,,,,20
6891104010449,300ml用化粧箱（6本入れ）,300ml用化粧箱-6本入れ,goods,,,,,,,,,,,,100
6891104501969,1800ml用化粧箱（2本入れ）,1800ml用化粧箱-2本入れ,goods,,,,,,,,,,,,50
6942345920721,梅酒　波多野　500ml,ss_1,other-alc,,,,,,,,,,,,0
6948428284113,ナマザケ 720ml（要冷蔵）,63,sake,純米,,,-1.5,,,2,4,3,3,2,20
6980152066257,白笹鼓 2022年「寅」干支ボトル（ゴールド）,55,goods,アルコール飲料,,,5.0,1.1,,,,,,,0
6980160651473,白笹鼓 2022年「寅」干支ボトル（青磁）,56,goods,アルコール飲料,,,5.0,1.1,,,,,,,5
6987632181457,白笹鼓 ウメザケ（梅酒）,64,other-alc,リキュール,9度以上 10度未満,,,,,,,,,,2
7036190589137,8勺ます（焼き印入り）,shirasasa-masu,goods,グラス・カップ,,,,,,,,,,,0
7036846473425,ヤマザケ「塔ノ岳・ヤビツ峠」（※箱付き）,69,goods,純米吟醸酒,14度,60％,,,,,,,,,56
7052189237457,白笹鼓　純米原酒　秦野　720ｍｌ,白笹鼓-純米原酒-秦野-720ｍｌ,sake,,,,,,,3,3,2,3,3,0
7052192383185,白笹鼓　ヤビツ峠　300ml　（本醸造）,白笹鼓-ヤビツ峠-300ml-本醸造,sake,,,,,,,3,3,2,3,3,0
7052192415953,白笹鼓　塔の岳　300ml　（山田錦・純米吟醸）,白笹鼓-塔の岳-300ml-山田錦-純米吟醸,sake,,,,,,,3,3,2,3,3,0
7057359831249,白笹鼓　特撰　1800ｍｌ,白笹鼓-特撰-1800ｍｌ,sake,,,,,,,3,3,2,3,3,0
7057360847057,白笹鼓　純米吟醸生貯蔵　300ｍｌ,白笹鼓-純米吟醸生貯蔵-300ｍｌ,sake,,,,,,,3,3,2,3,3,0
7057360945361,干支ボトル金チヂミ　720ml,干支ボトル金チヂミ-720ml,goods,,,,,,,,,,,,0
7057360978129,干支ボトル青磁　720ml,干支ボトル青磁-720ml,goods,,,,,,,,,,,,0
