商品ID,商品名,handle,在庫,種類,日本酒度,酸度,甘辛(1甘-5辛),濃淡(1淡麗-5濃醇),香り(1穏-5華),酸味(1穏-5強),キレ(1まろ-5鋭),根拠,蔵元コメント
6712425316561,白笹鼓 大吟醸,9,317,大吟醸,,,4,3,5,3,4,推定(要確認),
6712426004689,白笹鼓 純米,21,90,純米,,,4,3,3,3,4,推定(要確認),
6712425251025,白笹鼓 純米大吟醸,7,81,純米大吟醸,,,3,3,5,3,3,推定(要確認),
7398497845457,黒笹 Revive 純米吟醸 2026,94,76,純米吟醸酒,,,3,3,4,3,4,推定(要確認),
7610707116241,ミライザケ奏炎 -2025- 辛口特別純米,102,72,特別純米酒,,,4,3,3,3,5,推定(要確認),
7329517437137,ミライザケ テロワール純米吟醸 詩歌 2026,91,63,純米吟醸酒,,,3,3,4,3,3,推定(要確認),
7329516749009,ミライザケ テロワール純米吟醸原酒 大地 2026,90,62,原酒,,,3,3,4,3,3,推定(要確認),
7398498959569,黒笹 Eden 純米吟醸 2026,93,58,純米吟醸酒,,,3,3,4,3,3,推定(要確認),
7575615373521,SAKE for Highball（数量限定）,101,55,清酒,,,3,3,2,3,3,推定(要確認),
7428654694609,夏笹しゅわり 純米発泡生2026,95,52,純米酒（瓶内二次発酵生）,,,3,3,3,3,3,推定(要確認),
6712426922193,白笹鼓 本醸造生貯蔵酒 300ml,36,48,生貯蔵,4.0,1.2,5,4,2,3,4,実データ,
6712425840849,白笹鼓 特別本醸造,19,46,特別本醸造,,,4,2,2,3,4,推定(要確認),
6712425611473,白笹鼓 純米吟醸酒「神奈川物語」500ml,15,43,純米吟醸,1.0,1.4,3,4,4,4,2,実データ,
6712426102993,白笹鼓 本醸造,23,43,本醸造,,,4,2,2,3,5,推定(要確認),
6834393153745,【秦野萌酒】白笹鼓 純米「いなり」720ml,49,43,特別本醸造,1.5,1.4,4,4,3,4,3,実データ,
6712426463441,白笹鼓 謹醸 300ml,29,41,普通酒,4.0,1.1,5,4,2,3,4,実データ,
6834376147153,【秦野萌酒】白笹鼓 特別本醸造「いなり」720ml,48,31,特別本醸造,3.5,1.3,5,4,2,4,4,実データ,
7253282914513,ササノメグリ　碧笹,87,30,特別純米酒／純米酒,,,3,3,3,3,3,推定(要確認),
6712426266833,白笹鼓 謹醸 720ml,27,29,普通酒,4.0,1.1,5,4,2,3,4,実データ,
6712425578705,白笹鼓 純米吟醸,14,27,純米吟醸,,,3,3,4,3,3,推定(要確認),
6712426201297,白笹鼓 原酒「笹の露」,25,26,原酒,,,4,4,2,3,4,推定(要確認),
6948428284113,ナマザケ 720ml（要冷蔵）,63,20,純米,-1.5,,2,4,3,3,2,実データ,
